id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at,status_verified_at
978fc82e-b4a3-488a-b2be-25c983cf076e,west.vodka,premium,47.2,29.5,high,low,4,namesilo,,,
5448f0d4-198c-41f7-8dfd-b4c07b99e17c,tire.vodka,premium,47.2,29.5,high,low,4,namesilo,,,
9c27d23b-ee06-4a83-baa6-87eb413fa7e2,arguable.vodka,available,32.49,32.49,high,low,8,namesilo,,,06/08/2026 18:32
2485276d-e627-45f9-b16b-0c7231f87e2e,exclusively.vodka,available,32.49,32.49,high,low,11,namesilo,,,
be5ad735-4f0d-4e4d-9712-7bdb8222ceff,clx.vodka,available,32.49,32.49,high,low,3,namesilo,,,
63635edd-343c-44d0-a88a-738d0d19617d,sky.vodka,premium,854,29.5,high,medium,3,namesilo,,,24/09/2026 11:19
968d7a94-f642-4785-925b-a6490ca48801,chop.vodka,premium,47.2,29.5,high,low,4,namesilo,,,
af4944c5-d976-4026-900e-746af76ccd1b,irritable.vodka,available,32.49,32.49,medium,low,9,namesilo,,,
8fbb2c71-e5f9-4de9-a675-b1ee0b272f80,humanities.vodka,available,32.49,32.49,high,low,10,namesilo,,,
360b04f1-6701-475a-85c0-5ae418e250dc,aleut.vodka,available,32.49,32.49,high,low,5,namesilo,,,
e8b3660c-0cbd-42af-af6d-8075e0a13c2f,orangutan.vodka,available,32.49,32.49,high,low,9,namesilo,,,
6f967983-3247-450b-94ea-564b305f1c88,sympathy.vodka,available,32.49,32.49,high,low,8,namesilo,,,
3b43f9bb-c5db-46f6-bd12-09b78fe6b4c4,records.vodka,available,32.49,32.49,high,low,7,namesilo,,,
e4a6ec65-d712-41a2-852b-4e77d7dd40a5,americas.vodka,available,32.49,32.49,high,low,8,namesilo,,,
898f33a0-fcd5-4b28-b66f-3be7b0ebee28,friends.vodka,available,32.49,32.49,high,medium,7,namesilo,,,
afed262d-9e39-4d1c-9968-335af82c15dc,referable.vodka,available,32.49,32.49,medium,low,9,namesilo,,,07/08/2026 01:28
77e64fe8-041f-4984-a020-7150bee31c30,auditive.vodka,available,32.49,32.49,medium,low,8,namesilo,,,07/08/2026 16:49
ff48dcec-a197-45b2-b144-ea26ccdbe016,verbs.vodka,available,32.49,32.49,medium,low,5,namesilo,,,
2c5ca096-8718-4bbd-b40a-e069bc2c3d48,viewer.vodka,available,32.49,32.49,high,low,6,namesilo,,,
5660cb96-0ce6-46ef-be52-ec76fbaa7be7,enable.vodka,available,32.49,32.49,high,low,6,namesilo,,,
4fef8d28-9746-4905-a4f4-34c768bf9bdc,sundress.vodka,available,43.98,,high,low,8,namecheap,,,
9ddc9f32-e394-49a7-bb18-2d394c5e61ea,boozer.vodka,available,32.49,32.49,high,low,6,namesilo,,,
0bcc3ca7-1031-44e2-a227-b839f1a518c3,brute.vodka,available,32.49,32.49,high,low,5,namesilo,,,
